iter	RMSE
0	79.11706264
1	76.95100666
2	74.85358702
3	72.77907533
4	70.89525504
5	69.03978771
6	67.28535365
7	65.61802898
8	64.02334441
9	62.53177881
10	61.11860407
11	59.78983546
12	58.54533166
13	57.32723357
14	56.16754316
15	55.08203872
16	54.06431039
17	53.09187009
18	52.18640038
19	51.34113453
20	50.56123383
21	49.78382543
22	49.07621168
23	48.42392093
24	47.79041701
25	47.20177447
26	46.66326006
27	46.12604283
28	45.64643531
29	45.18028058
30	44.74468888
31	44.34080935
32	43.94581711
33	43.58365491
34	43.24294439
35	42.92648623
36	42.63172507
37	42.36233313
38	42.12692176
39	41.88544679
40	41.67653689
41	41.46629123
42	41.24118193
43	41.07195598
44	40.88988908
45	40.72210993
46	40.53508027
47	40.38569062
48	40.24497707
49	40.09831642
50	39.98644301
51	39.85843588
52	39.74127302
53	39.62452066
54	39.53004076
55	39.41028232
56	39.31732577
57	39.22038961
58	39.1561361
59	39.07581479
60	39.00386248
61	38.92366459
62	38.84917803
63	38.76767542
64	38.70602765
65	38.64218634
66	38.57486031
67	38.51401673
68	38.45062897
69	38.41085898
70	38.36376548
71	38.31100522
72	38.25708479
73	38.22717393
74	38.17775146
75	38.13494355
76	38.10714469
77	38.07696267
78	38.0502901
79	37.99622601
80	37.95584259
81	37.91670416
82	37.87297258
83	37.85171902
84	37.80188305
85	37.76932056
86	37.72705339
87	37.68975477
88	37.668322
89	37.65370963
90	37.62344611
91	37.59349801
92	37.55973575
93	37.52760017
94	37.49302647
95	37.43823004
96	37.41074764
97	37.36179881
98	37.34676172
99	37.33130451
100	37.31018047
101	37.27097387
102	37.24440329
103	37.21430364
104	37.1810008
105	37.14535063
106	37.13351978
107	37.09248161
108	37.07303421
109	37.04665069
110	37.01391261
111	36.98302297
112	36.96889069
113	36.93938911
114	36.91508999
115	36.90106107
116	36.87634722
117	36.84285439
118	36.82337596
119	36.79117757
120	36.77801808
121	36.7453037
122	36.71714784
123	36.67713507
124	36.63758132
125	36.63145404
126	36.609543
127	36.59195181
128	36.58467098
129	36.56708648
130	36.54096522
131	36.48886903
132	36.45483088
133	36.43199519
134	36.42544482
135	36.414647
136	36.38215455
137	36.36770098
138	36.34635798
139	36.33108786
140	36.29630789
141	36.28455664
142	36.26618359
143	36.23502919
144	36.21291359
145	36.19021581
146	36.1191237
147	36.06080738
148	36.0392901
149	36.03237807
150	36.00679921
151	35.99207109
152	35.96637297
153	35.94978259
154	35.934509
155	35.90785741
156	35.8712853
157	35.83564738
158	35.8181334
159	35.77102621
160	35.74898942
161	35.72749621
162	35.70276636
163	35.64613773
164	35.62010657
165	35.60074688
166	35.58481703
167	35.57381987
168	35.52374033
169	35.50976037
170	35.45491407
171	35.4094897
172	35.34766964
173	35.30759876
174	35.2585914
175	35.21879852
176	35.19074501
177	35.17250844
178	35.13129937
179	35.07822196
180	35.0647527
181	35.04532162
182	35.03703052
183	35.02404878
184	35.00452456
185	34.98966015
186	34.94796113
187	34.9327759
188	34.87868219
189	34.83239611
190	34.82231067
191	34.80086432
192	34.75308103
193	34.73412749
194	34.72299631
195	34.67720824
196	34.63523342
197	34.60028224
198	34.55061994
199	34.53251169
200	34.51755665
201	34.46458419
202	34.41058811
203	34.39649843
204	34.35015944
205	34.33598823
206	34.32041701
207	34.29557567
208	34.27145292
209	34.24908575
210	34.23205598
211	34.20721916
212	34.18928347
213	34.17313357
214	34.1345329
215	34.10087853
216	34.08857858
217	34.03934701
218	34.02535125
219	33.97853364
220	33.94227815
221	33.88996536
222	33.86557652
223	33.81296695
224	33.7996173
225	33.78071625
226	33.73477458
227	33.69608033
228	33.65199176
229	33.63882922
230	33.63088597
231	33.58591249
232	33.57465654
233	33.54854052
234	33.51896671
235	33.48856937
236	33.45301133
237	33.44318075
238	33.40913634
239	33.35297045
240	33.31461765
241	33.29911241
242	33.2657864
243	33.25465433
244	33.23746987
245	33.21851336
246	33.20540872
247	33.18777181
248	33.14329876
249	33.10741236
250	33.06461186
251	33.05518763
252	33.04489122
253	33.03158354
254	33.01337969
255	32.97846747
256	32.96757523
257	32.94738902
258	32.91563579
259	32.8796888
260	32.85015835
261	32.81347654
262	32.77249151
263	32.73447049
264	32.69888915
265	32.66716135
266	32.65473754
267	32.63832891
268	32.60941933
269	32.56909611
270	32.5574234
271	32.52392868
272	32.51027634
273	32.46985001
274	32.45872268
275	32.42485764
276	32.41550636
277	32.38958616
278	32.37833416
279	32.35966704
280	32.34585978
281	32.31092775
282	32.29858514
283	32.28658343
284	32.26007371
285	32.22897655
286	32.21909565
287	32.21008972
288	32.20063744
289	32.19145276
290	32.15319956
291	32.11569277
292	32.10468828
293	32.07588051
294	32.06171689
295	32.03115825
296	32.02177318
297	32.00942098
298	31.98081099
299	31.96996455
300	31.92285424
301	31.8939581
302	31.86899904
303	31.84509922
304	31.81113121
305	31.80205834
306	31.77727223
307	31.74923274
308	31.71775233
309	31.69651771
310	31.66774558
311	31.65342708
312	31.62672102
313	31.60726768
314	31.58502078
315	31.57577892
316	31.56450052
317	31.51918833
318	31.46927351
319	31.4520206
320	31.44334265
321	31.42347623
322	31.41541265
323	31.40695932
324	31.39641196
325	31.36985748
326	31.33659417
327	31.31565954
328	31.28383983
329	31.26299893
330	31.25469807
331	31.21936102
332	31.21002153
333	31.1998551
334	31.18995806
335	31.16496751
336	31.14955465
337	31.14090963
338	31.12025152
339	31.10068206
340	31.08805304
341	31.08076255
342	31.06595772
343	31.04247146
344	31.00754024
345	30.97980505
346	30.95769467
347	30.94601543
348	30.91032024
349	30.87722834
350	30.86804573
351	30.85633595
352	30.82357081
353	30.79365735
354	30.76894626
355	30.74768744
356	30.73639397
357	30.72677251
358	30.70392461
359	30.67969116
360	30.66867221
361	30.65896885
362	30.63594331
363	30.61441491
364	30.60944184
365	30.57544565
366	30.53771286
367	30.50623456
368	30.49558336
369	30.46965935
370	30.46131687
371	30.43202612
372	30.41821036
373	30.39540808
374	30.38647421
375	30.37105919
376	30.33938547
377	30.32716662
378	30.28655224
379	30.26390404
380	30.25338528
381	30.24301955
382	30.21273869
383	30.20318721
384	30.1768116
385	30.1605933
386	30.14072185
387	30.11344372
388	30.06781825
389	30.01706999
390	30.00804889
391	29.99213565
392	29.98181003
393	29.95304695
394	29.93332958
395	29.91509535
396	29.89643186
397	29.89095348
398	29.85468931
399	29.83533654
400	29.79563526
401	29.75612254
402	29.73236812
403	29.71790669
404	29.70807898
405	29.69110057
406	29.68173668
407	29.65467122
408	29.64612994
409	29.63071434
410	29.60014806
411	29.56578969
412	29.54052636
413	29.51457346
414	29.48044962
415	29.4632066
416	29.45651444
417	29.42987703
418	29.41818482
419	29.40745312
420	29.39836201
421	29.38669096
422	29.34663206
423	29.3346996
424	29.29162986
425	29.26566228
426	29.23757672
427	29.22391186
428	29.21294992
429	29.15747369
430	29.12944555
431	29.11903794
432	29.08968581
433	29.07491042
434	29.05671947
435	29.05049932
436	29.03071789
437	29.01807666
438	28.99735616
439	28.98998808
440	28.94989092
441	28.91957348
442	28.906664
443	28.89654114
444	28.87920952
445	28.85392937
446	28.83554334
447	28.79590903
448	28.75328584
449	28.7365934
450	28.69083548
451	28.68741779
452	28.67514523
453	28.66525612
454	28.63427963
455	28.62594573
456	28.6173595
457	28.58561038
458	28.54182479
459	28.49604825
460	28.48921944
461	28.45947582
462	28.43044953
463	28.40377516
464	28.39563517
465	28.38260094
466	28.35451373
467	28.315397
468	28.30649979
469	28.2685925
470	28.24501383
471	28.23791858
472	28.21959849
473	28.18220635
474	28.1741971
475	28.15634963
476	28.14421474
477	28.12447186
478	28.0841685
479	28.07192813
480	28.04774941
481	28.03123233
482	27.99559835
483	27.97162818
484	27.94590473
485	27.93814098
486	27.90992271
487	27.88566153
488	27.85651108
489	27.8306666
490	27.80210131
491	27.78506105
492	27.77561532
493	27.7509364
494	27.71612155
495	27.70789443
496	27.69971562
497	27.69307041
498	27.67693461
499	27.66557352
500	27.64925008
501	27.63923306
502	27.61590465
503	27.60035952
504	27.58582287
505	27.57296298
506	27.54711147
507	27.53355516
508	27.51965231
509	27.4965806
510	27.47936214
511	27.45901407
512	27.44195234
513	27.4341871
514	27.42035364
515	27.40328621
516	27.36730224
517	27.34806422
518	27.32082043
519	27.30704626
520	27.27938439
521	27.26641413
522	27.25926277
523	27.25195052
524	27.22571202
525	27.20538409
526	27.18529261
527	27.15632647
528	27.13248841
529	27.12283012
530	27.11518429
531	27.10851103
532	27.09891426
533	27.09168654
534	27.07591932
535	27.06862284
536	27.06149497
537	27.0374116
